actorName | [backToCompensate - ] currentPosition | move | result
findtable | (3, 4, leftDir) | w | (2, 4, leftDir)
findtable | (2, 4, leftDir) | d | (2, 4, upDir)
findtable | (2, 4, upDir) | w | (2, 3, upDir)
findtable | (2, 3, upDir) | d | (2, 3, rightDir)
findtable | backToCompensate - (2, 3, rightDir) | s | (2, 3, rightDir)
findtable | backToCompensate - (2, 3, rightDir) | h | (2, 3, rightDir)
findtable | (2, 3, rightDir) | rightDir | (2, 3, rightDir)
findtable | (2, 3, rightDir) | a | (2, 3, upDir)
findtable | (2, 3, upDir) | w | (2, 2, upDir)
findtable | (2, 2, upDir) | d | (2, 2, rightDir)
findtable | backToCompensate - (2, 2, rightDir) | s | (2, 2, rightDir)
findtable | backToCompensate - (2, 2, rightDir) | h | (2, 2, rightDir)
findtable | (2, 2, rightDir) | rightDir | (2, 2, rightDir)
GOAL: RH | 0, 0
navi | (2, 2, rightDir) | a | (2, 2, upDir)
navi | (2, 2, upDir) | w | (2, 1, upDir)
navi | backToCompensate - (2, 1, upDir) | s | (2, 1, upDir)
navi | backToCompensate - (2, 1, upDir) | h | (2, 1, upDir)
navi | (2, 1, upDir) | w | (2, 0, upDir)
navi | (2, 0, upDir) | a | (2, 0, leftDir)
navi | (2, 0, leftDir) | w | (1, 0, leftDir)
navi | (1, 0, leftDir) | w | (0, 0, leftDir)
navi | (0, 0, leftDir) | a | (0, 0, downDir)
GOAL REACHED: RH | 0, 0
GOAL: pantry | 0, 4
navi | (0, 0, downDir) | w | (0, 1, downDir)
navi | (0, 1, downDir) | w | (0, 2, downDir)
navi | backToCompensate - (0, 2, downDir) | s | (0, 2, downDir)
navi | backToCompensate - (0, 2, downDir) | h | (0, 2, downDir)
navi | (0, 2, downDir) | w | (0, 3, downDir)
navi | (0, 3, downDir) | w | (0, 4, downDir)
GOAL REACHED: pantry | 0, 4
GOAL: table | 3, 4
navi | (0, 4, downDir) | a | (0, 4, rightDir)
navi | (0, 4, rightDir) | w | (1, 4, rightDir)
navi | backToCompensate - (1, 4, rightDir) | s | (1, 4, rightDir)
navi | backToCompensate - (1, 4, rightDir) | h | (1, 4, rightDir)
navi | backToCompensate - (1, 4, rightDir) | s | (1, 4, rightDir)
navi | backToCompensate - (1, 4, rightDir) | h | (1, 4, rightDir)
navi | (1, 4, rightDir) | w | (2, 4, rightDir)
navi | (2, 4, rightDir) | w | (3, 4, rightDir)
navi | (3, 4, rightDir) | a | (3, 4, upDir)
GOAL REACHED: table | 3, 4
GOAL: fridge | 6, 0
navi | (3, 4, upDir) | d | (3, 4, rightDir)
navi | (3, 4, rightDir) | w | (4, 4, rightDir)
navi | (4, 4, rightDir) | w | (5, 4, rightDir)
navi | (5, 4, rightDir) | a | (5, 4, upDir)
navi | (5, 4, upDir) | w | (5, 3, upDir)
navi | (5, 3, upDir) | w | (5, 2, upDir)
navi | (5, 2, upDir) | w | (5, 1, upDir)
navi | (5, 1, upDir) | w | (5, 0, upDir)
navi | (5, 0, upDir) | d | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | s | (5, 0, rightDir)
navi | backToCompensate - (5, 0, rightDir) | h | (5, 0, rightDir)
navi | (5, 0, rightDir) | w | (6, 0, rightDir)
navi | (6, 0, rightDir) | a | (6, 0, upDir)
GOAL REACHED: fridge | 6, 0
GOAL: table | 4, 1
navi | (6, 0, upDir) | a | (6, 0, leftDir)
navi | (6, 0, leftDir) | w | (5, 0, leftDir)
navi | (5, 0, leftDir) | w | (4, 0, leftDir)
navi | (4, 0, leftDir) | a | (4, 0, downDir)
navi | (4, 0, downDir) | w | (4, 1, downDir)
GOAL REACHED: table | 4, 1
GOAL: RH | 0, 0
navi | (4, 1, downDir) | d | (4, 1, leftDir)
